Serial,Role,Input,RoleRef,Probability Distribution
10,Web Developer,chicago 10 years www syedakhtar syed akhtar chicago 2016 web designory audi nissan designory designed developed maintained adobe photoshop adobe illustrator adobe xd created javascript js jquery ui bootstrap antdesign less sass cms wordpress joomla shopify big commerce aws godaddy bluehost front end 2012 some a digital marketing agency advanced websites web applications the capacity of a front any give day designed ui adobe photoshop adobe illustrator sketch converted design mockups js angular jquery mobile used css frameworks bootstrap antdesign premium created wordpress wordpress db queries aws 2009 chicago digital marketing agency php created ui adobe photoshop sketch developed custom javascript web applications php back end architectures php codeigniter sql theme plugin wordpress education bachelor s computer science university of illinois chicago 2008 10 years 10 years 10 years 8 years 4 years 4 years 4 years 2 years 8 years 8 years 6 years 5 years 4 years 7 years 3 years 2 years 3 years 6 years 3 years 6 years 10 years 8 years adobe xd 1 year 5 years,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
11,Web Developer,new york ny 7 years php ajax xhtml php excellent others drupal pardot amazon beanstalk ec2 us atlanta may 2018 responsibilities building third crud restful api building api cms php laravel creating drupal creating api 3gb environment platforms atlanta august 2017 to march 2018 microsoft amazon application php annual about 10 hours cms google smtp web developer new york ny june 2016 to july 2017 built cms php google javascript designed adobe photoshop languages php november 2013 may 2016 vconnect api php the restful architecture crud api front end developer syspera company lagos ng september 2012 to october 2013 adobe photoshop syspera march 2013 to march 2015 skills mysql 5 years 5 years 2 years 6 years 5 years 5 years 5 7 years,Web Developer,"{7: 0.23076923076923078, 9: 0.7692307692307693}"
12,Web Developer,front end january 2015 rss drupal zija all clean inc centerville ut january 2010 to january 2015 php created search engine optimization created april 2011 to october 2014 dealt daily education associate s degree animation eagle gate april 2009 to september 2011 skills content management front end,Web Developer,"{7: 0.15384615384615385, 9: 0.8461538461538461}"
13,Web Developer,october 2018 cms wordpress google sites brandstar fort lauderdale april 2016 to april 2018 wordpress woocommerce improve seo implement google analytics nova southeastern university april 2015 to september 2015 hannon hill s fort lauderdale november 2013 to november 2014 front end plantant davie fl november 2011 to november 2013 computer science university of central florida orlando august 2007 to august 2010 aa college academy broward college davie august 2005 august 2007 6 years css3 6 years 6 years 6 years 6 years 3 years 2 years 6 years 6 years 6 years 6 years 6 years dns 2 years email marketing 2 years 6 years 6 years 6 years 6 years 6 years 6 years 6 years july 2019,Web Developer,"{7: 0.15384615384615385, 9: 0.8461538461538461}"
14,Web Developer,equipment associate equipment associate equipment associate long beach july 2018 to july 2019 february 2018 to june 2018 morryde international elkhart january 2016 to december 2017 front end long beach ca august 2010 to january 2016 skills inventory inventory data forklift additional information skills customer service data entry forklift inventory control inventory management warehouse ms office,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
15,Web Developer,october 2018 daily avon daily cheetah mail photoshop qa 250ok january 2018 to september 2018 cms daily eloqua html5 photoshop and dreamweaver mckinsey co new york ny january 2017 to december 2017 november 2016 to december 2016 us canadian us cheetah mail us canadian new york ny june 2016 to december 2016 javascript freelance email developer time inc new york ny march 2016 may 2016 daily cheetah mail salesforce education september 2015 to december 2015 bachelor of arts english english skills bootstrap sass dreamweaver git,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
16,Web Developer,web developer wa more than 5 years javascript nodejs angularjs cordova phonegap adept us march 2019 to july 2019 utilize html css javascript utilize polymer polymer vue design ui utilize hapi express design lab design polymer mocha sinon nock utilize grafana python utilize es6 javascript utilize utilize utilize utilize utilize gulp yarn march 2018 to march 2019 javascript jquery php java utilize javascript frontend utilize li3 php utilize git utilize confluence utilize slack and zoom utilize webstorm and phpstorm utilize jenkins utilize mocha jsdom chai request sinon utilize grunt gulp mockery composer utilize browser april 2017 to march 2018 ui utilize utilize angularjs reactjs ui utilize utilize utilize utilize utilize utilize nodejs npm utilize utilize utilize utilize june 2016 to february 2017 responsibilities develop develop user interface utilize utilize objected oriented javascript angular utilize optimize javascript utilize utilize jquery utilize git july 2015 to june 2016 angular bootstrap utilize objected oriented javascript utilize utilize angular utilize mvc develop assist ecommerce utilize invision slack flowdocks pivatol utilize webstorm and phpstorm uitilize git june 2015 to november 2015 responsibilities develop angular bootstrap ionic phonegap cordova utilized objected oriented javascript single page applied mvc utilized angular ionic utilized ionic xcode android studio webstorm ide gulp grunt utilized git technologies bellevue july 2013 to march 2015 angularjs and bootstrap bootstrap extensive java javascript eclipse designed jenkins assisted jira assisted git actively git jenkins maven took april 2013 to july 2013 ranorex selenium robotium microsoft hp qtp developed ranorex worked alm rally applications reviewed reviewed assisted jenkins worked september 2012 to february 2013 catalyst platform catalyst sharepoint february 2012 to september 2012 reviewed fitnesse microsoft test framework c net assisted assisted microsoft sharepoint microsoft microsoft microsoft microsoft tfs developed september 2011 to september 2012 tcp ip fedora linux assisted mercury crm jira sql javascript css php education associates of science 2010 computer science metropolitan state university saint paul mn associates applied sciences aviation applied sciences technical college minneapolis mn,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
17,Web Developer,developer comcast philadelphia pa sr ios developer authorized us april 2018 autodesk inc plano november 2016 to march 2018 autodesk inc american autodesk sketchbook uikit agile scrum jira mvc ui the swift coding style protocols and extensions implement uikit gestures calayer keychain segues crashlytics json codable used core data instruments adding analytics mvc github uikit networking agile scrum june 2015 to october 2016 german deutsche telekom ag responsibilities project agile scrum 2 weeks swift 2 core graphics calayer uitabbars urlsession https utilized jsonserialization xcode core data keychain push notifications qa android qa swift 2 x 3 atlanta january 2014 to april 2015 the ncr corporation us electronics company ncr vision optisuite ui jira have integration regression consumed rest developed ui sql procedures triggers views fixed web services code review fixes worked environment xcode sql february 2012 to december 2013 nepal yomari inc yomari collaborate web services soap education bachelor s pokhara pokhara university december 2011 skills design git html javascript json webkit,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
18,Web Developer,net net us dataconcepts richmond va october 2017 virginia department of human resources team foundation ada javascript asp net mvc c sql 2014 selenium ef6 richmond va december 2016 to july 2017 marklogic data entity framework 6 model july 2016 to august 2016 macintosh git bitbucket sourcetree created asp net sketch node november 2015 may 2016 front end xml modal ui bootstrap javascript independent hourly consultant february 2014 to october 2015 created windows service daily monthly ftp sma resources ifmg carloan transunion richmond va create the commonwealth of va public notary search sso c mvc5 bootstrap ms crm tfs asp net rwd bootstrap razor ukrop s dress express june 2011 to february 2014 etl ms sql 2005 2008 ecommerce asp net c javascript sage a pac erp sql sql ssis javascript asp net education bachelor s may 2019 javascript rest sql,Web Developer,"{7: 0.5384615384615384, 9: 0.46153846153846156}"
19,Web Developer,developer web designer george mason alexandria va authorized us february 2012 ruby rails the college of humanities and social sciences cms chssweb developed first george mason 2012 researching ed web javascript rewrote css sass creating highcharts d3 bootstrap and material design working the chssweb cms working cms creating hours george mason cms cms september 2011 to october 2011 wordpress php production coordinator dominion dental services inc february 2009 to january 2011 one year maintained dds inc adobe illustrator indesign updated handled web design boston university s center for 7 years 7 years 5 years 5 years 2 years less than 1 year less than 1 year additional information core cross compatibility ux ui content management systems familiar d3 highcharts bootstrap material design wordpress php google analytics proficient adobe photoshop illustrator indesign omnigraffle working sublime text microsoft office valued consulting,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
20,Web Developer,roseburg 8 years seo us september 2013 improved ui ux migrated media front end april 2012 to november 2012 ecommerce website roseburg october 2011 to february 2012 provided interactive december 2009 to august 2011 sql sql penn foster home school scranton pa september 2003 april 2006 april 2006 skills web development 8 years 8 years javascript photoshop 8 years 8 years 4 years 6 years 8 years net 5 years google analytics 5 years website git 8 years asp links,Web Developer,"{4: 0.07692307692307693, 7: 0.3076923076923077, 9: 0.6153846153846154}"
21,Web Developer,mobile web app us may 2019 kivy python operating systems ios android implementing august 2016 may 2019 bradley sturgeon utilized python sea a water tank python matplotlib tableau python matplotlib pandas data analyst capel pension trustees ltd september 2013 to august 2018 ghana norbus salesforce microsoft excel s ghana oil beige sql ghana oil ghana water micheletti google analytics excel education bachelor of arts in chemistry monmouth college may 2019 sql tableau word visualization bi links jeffreyricketts additional information computer macros microsoft outlook python numpy pandas kivy power bi,Web Developer,{5: 1.0}
22,Web Developer,front end daily us december 2018 january 2018 to december 2018 corporation bryan tx august 2011 to january 2018 analyze review negotiate review taxes education teex central texas police academy february 2018 to june 2018 bachelor s of science january 2009 may 2011 june additional information interpersonal skills microsoft office,Web Developer,"{1: 0.15384615384615383, 4: 0.07692307692307691, 6: 0.30769230769230765, 7: 0.15384615384615383, 8: 0.07692307692307691, 9: 0.23076923076923073}"
23,Web Developer,front end us fort lauderdale fl october 2016 to june 2018 fort lauderdale fl description psd bootstrap converting wordpress sites graphic design banners obamacare2017 front end fort lauderdale fl january 2016 to july 2016 fort lauderdale fl description psd bootstrap design converting wordpress sites graphic design banners websites layouts web developer june 2014 to september 2015 fort lauderdale fl description design ppc campaigns websites logos design wordpress for future seo sem www drugtreatmentcentersirvington www drugtreatmentcentersenglewood www drugtreatmentcenterselizabeth www lincolndrugtreatmentcenters com fort lauderdale october 2012 to june 2014 10 01 2012 6 16 2014 fort lauderdale fl description design video production and video editing wordpress drupal o adobe dreamweaver fireworks flash cs5 adobe photoshop illustrator cs5 effects web graphic design team december 2010 to august 2012 fort lauderdale fl description design adobe dreamweaver fireworks flash cs5 adobe photoshop illustrator cs5 wordpress drupal o brazil monthly web development adobe dreamweaver fireworks flash cs4 cs5 adobe photoshop illustrator cs4 cs5 o movie adobe premiere cs4 wordpress 11 15 2010 monthly web development adobe dreamweaver fireworks flash cs4 cs5 adobe photoshop illustrator cs4 cs5 o movie adobe premiere cs4 wordpress fortaleza br may 2008 to december 2009 brazil monthly web development adobe dreamweaver fireworks flash cs3 and cs4 cs4 o movie adobe premiere cs3 and cs4 o ce fanor university 2008 10 years 10 years 9 years 8 years 8 years less 2 years 3 years adobe 7 years php 3 years 5 years psd bootstrap wordpress sites 6 years 7 years 7 years 2 years 2 years obamacare2017 www nationalmarine certifications licenses adobe february 2009 xhtml adobe premiere encore cs4 cs5 coreldraw,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
24,Web Developer,front end us july 2019 front end march 2017 to march 2019 php front end moon media cooper city fl october 2016 to february 2017 moon media moon media js august 2016 to december 2016 verified seo google bing yahoo front end weston february 2015 to april 2016 psd psd maintained annual maintained multimedia web developer contour graphics coral springs fl february 2013 to november 2014 applied seo maintained wordpress wordpress and bootstrap august 2011 built maintained adobe photoshop adobe dreamweaver developed photoshop 2015 bachelor s winter park fl 2011 to 2014 2 years css3 4 years javascript 2 web development social media management 2 years 3 years 4 years 2 years 2 years team management 1 year 3 years licenses certificate diploma july 2016 december 2016 january 2017 march 2019 march 2019 additional information limited adobe creative suite react redux c,Web Developer,"{7: 0.23076923076923078, 9: 0.7692307692307693}"
25,Web Developer,salt lake city utah more than a decade us december 2018 to april 2019 july 2017 to december 2018 rebuilt november 2016 to june 2017 ux ux december 2015 to september 2016 built the partnership for drug free kids 30th vivial mgage logicsource black diamond ux november 2014 to october 2015 daz3d the daz3d forum 543 jgabrielsen gmail jamesgabrielsen marketing allen communication learning services january 2014 to november 2014 the highest sales year april 2013 to january 2014 livescience space laptop herman street senior graphic october 2008 april 2013 herman street english august 2019 august 2019 august 2019 august 2019,Web Developer,"{1: 0.3076923076923077, 5: 0.07692307692307693, 7: 0.23076923076923078, 8: 0.07692307692307693, 9: 0.3076923076923077}"
26,Web Developer,seattle wa frontend ui 8 years ui ui us seattle wa may 2014 to march 2019 ui storybook lingo sketch react npm webpack node march 2013 to march 2014 mvc mvvm javascript kendo learned june 2011 to march 2013 mvc ajax february 2011 may 2011 os web developer april 2010 to october 2010 modi ed movable type february 2009 to january 2010 2003 2007 skills git bootstrap photoshop sketch storybook lingo,Web Developer,"{7: 0.15384615384615385, 9: 0.8461538461538461}"
27,Web Developer,javascript angular mobile tablet desktop twitter bootstrap extensive javascript css mvc waterfall agile custom directives controllers services filter angular good angular javascript jquery experience restful angular 4 5 6 react sql sql sql mvc mvc architecture design patterns experience uml analysis and design extensively jquery prototype x html dhtml oo javascript json dom css xml xslt ajax proficient logos banners buttons icons adobe flash adobe illustrator working eclipse git ability us work experience alpharetta ga november 2017 online equifax gcs pet member monthly annual responsibilities worked xml angular react js ui xhtml node bootstrap react js angular bootstrap requirement analysis designing building unit jira the spa working on react forms events routing keys angular angular karma jasmine cucumber routing model view angular ajax python eclipse dearborn mi april 2015 to september 2017 description ford motor company pbs systems ford ford s ford dealers dms flex dms ford ford ford ford responsibilities proficient xml javascript bootstrap ajax javascript angular perform unit created javascript jquery jquery ui used angular 2 node js javascript angular jquery javascript angular creating javascript utilized adobe fireworks adobe photoshop adobe dreamweaver illustrator converted used jasmine angular ajax stainwash technologies karnataka august 2013 to march 2015 description stainwash responsibilities website development development debug knowledge javascript jquery angular grid javascript angular angular angular single page application spa angular 2 node js javascript angular jquery javascript angular creating javascript converted used jasmine angular ajax windows web september 2012 to july 2013 corporates products technology vendor financing html css3 javascript jquery ajax develop website architecture bootstrap javascript jquery angular worked http request git designed ios android gimp environment html css3 javascript angular mvc front developer amdocs chennai august 2011 to august 2012 1993 order processing installations disconnects restarts change of service order processing responsibilities good ajax cross browser compatibility safari firefox google chrome mobile tablet desktop twitter bootstrap background layouts pseudo eclipse notepad environment html css ajax computer application vlb janakiammal college of arts and science bharathiyar university 2008 skills c firebase,Web Developer,"{7: 0.7692307692307693, 9: 0.23076923076923078}"
28,Web Developer,july 2018 window services web products wordpress php provide introduce devops team foundation server azure dev ops front end development with vuejs cto front end developer iron moose development july 2018 moosetracks used react automated builds docker container azure dev ops provide design marketing and technology decisions software developer computer integration technologies march 2016 cms android collaborate third wpf xamarin team lead first choice february 2019 to june 2019 setup independent contractor xamarin development january 2017 to july 2018 johnson controls january 2018 to june 2018 january 2018 xamarin the glas mobile team the glas smart thermostat spok november 2017 to january 2018 xamarin android appium kobiton planned parenthood federation of america august 2017 to october 2017 xamarian jira and bitbucket apple store january 2017 to september 2017 xamarin january 2017 xamarin forms xaml engine jint javascript mac github enterprise hockey app rice lake wi march 2012 to march 2016 winforms android chippewa valley technical college skills visual xamarin xml wpf angularjs mongodb mstest linux links additional information operating systems xml php jquery,Web Developer,"{7: 0.5384615384615384, 9: 0.46153846153846156}"
29,Web Developer,web developer san jose management information systems san jose state university us react front end november 2018 to january 2019 firebase built react native integrated twilio facebook mechanical engineer inten lawrence berkeley national laboratory berkeley ca june 2014 to august 2014 mechanical engineer mechanical engineer education bachelor s in management information systems san jose state university san jose ca august 2018 front end bootstrap wordpress python flask gatsby,Web Developer,"{7: 0.46153846153846156, 8: 0.07692307692307693, 9: 0.46153846153846156}"
30,Web Developer,front end 7 year api third june 2019 wordpress html css bootstrap javascript develop seo front end august 2017 to april 2019 seo technologies lagos state february 2010 may 2017 monthly supervise waec skills website design 4 years 3 years digital marketing 3 years 8 years 8 years 3 years 5 years july 2019 igm7v zptlstooic critical thinking july 2019,Web Developer,"{4: 0.07692307692307693, 7: 0.5384615384615384, 9: 0.38461538461538464}"
31,Web Developer,front end chicago us march 2019 vms provide build wordpress vms front end chicago april 2017 bootstrap wordpress doorman part time lake shore chicago september 2013 education 6 credit hours business management roosevelt university chicago 1998 to 2000 84 credit hours business management northeastern illinois university chicago 1993 to 1996 skills javascript 2 years 2 years 1 year 2 years 1 year 10 2 years 1 year 2 years 1 year less than 1 year less than 1 year less than 1 year 1 year less than 1 year less than 1 year 2 years 2 years css3 2 years additional information technical skills php sublime css3 wordpress,Web Developer,"{1: 0.07692307692307693, 5: 0.07692307692307693, 7: 0.38461538461538464, 9: 0.46153846153846156}"
32,Web Developer,front end developer over 7 years design development implementation and maintenance excellent ajax dom wordpress php experience angularjs angular bootstrap ui building hmi nodejs seo atlassians atlassian working healthcare february 2017 to july 2019 purcado inc durham north carolina built built api php review wordpress creating wordpress purcado wordpress created angular angularjs api angular angularjs documenting atlassian managing wordpress javascript mac os gimp zoetis durham october 2015 to december 2016 the inovoject system an embrex biodevice zoetis ui node plc eggid running nextgen ubuntu vmplayer creating gimp nodejs bugzilla perforce taking bugzilla swarm updating webstorm gimp perforce bugzilla notepad windows walgreens lincolnshire january 2012 to march 2015 gps career wml balsamiq microsoft styling javascript jquery ms publisher adobe illustrator designing adobe photoshop assisted learning management system continuous camtasia studio collecting piwik assisted sdlc alm responsibilities responsible confluence css writing javascript ajax configuring ui jira configuring schemas assisted business analysts environment confluence wml javascript java adobe photoshop cs5 camtasia studio balsamiq gliffy piwik windows august 2009 to september 2011 intern mobile awareness llc applied technology tpms responsibilities preparing schematic documenting research cleveland state university december 2008 may 2009 computer architecture computer and information systems knowledge cleveland state may 2010 may 2006 mac mac os microsoft windows xp photoshop wireframe adobe photoshop angular ui php css 3 xml ide balsamiq microsoft os windows xp mac os,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
33,Web Developer,front end los angeles ca authorized us el segundo ca july 2017 collaborate united states postal service develop confluence front end engineer forelinx inc los angeles ca february 2016 to june 2017 maintained sass seo american honda motor co inc november 2014 to january 2016 converted greensock improved may 2014 to october 2014 javascript craft cms ui phd ventures sanz construction inc social science social science university of california riverside ca skills visual git doubleclick,Web Developer,"{1: 0.07692307692307693, 4: 0.07692307692307693, 7: 0.3076923076923077, 8: 0.07692307692307693, 9: 0.46153846153846156}"
34,Web Developer,2018 to 2019 costco california arizona texas washington seattle wa 2016 2018 designed front end 2011 2016 education master of science in human centered design engineering in human centered design engineering university of washington seattle college of engineering seattle wa 2018 research intern national institute of informatics march 2017 to june 2017 bachelor of arts in architecture studies and architecture history in architecture studies architecture history university of washington seattle college of architecture and urban planning washington seattle college of architecture and urban seattle wa skills graphic visualization prototyping links,Web Developer,"{4: 0.07692307692307693, 7: 0.07692307692307693, 9: 0.8461538461538461}"
35,Web Developer,eden prairie mn us may 2019 november 2017 to march 2018 javascript wordpress git wordpress converted photoshop developer unitedhealth group august 2016 to november 2016 javascript jquery css bootstrap adobe live and work may 2016 to august 2016 sketch javascript angular ux randstad technologies february 2015 to november 2015 javascript ajax dom bootstrap cq5 designed built the user interface javascript angular restful web services java the user interface ajax worked for optum technology uhg it january 2013 to april 2014 javascript ajax git php dom axure modular carrier activation platform cpc mobile cpc home connections js home connections project js php april 2012 to june 2012 xhtml javascript jsp google ads maintained updated bestbuy eleven inc minneapolis november 2010 to april 2012 javascript actionscript jquery css php maintained cummins power generation cummins power generation cummins power generation lake minnetonka dental capital advisory group october 2008 to august 2010 xhtml php myadmin sql cms maintained b2b coldfusion created weekly monthly exacttarget community march 2010 science minsk may 2003 html javascript php xml,Web Developer,"{3: 0.07692307692307693, 7: 0.15384615384615385, 9: 0.7692307692307693}"
36,Web Developer,florida front end florida front end front end october 2016 to october 2018 oct 2016 the magento cms platform website social media management seo campaign monitor mailchimp html css converted javascript cms created microsoft magento cms php php magento magento 2 2 2 bootstrap flexbox created magento built double debugged third party magento maintains customized magento s front end april 2015 to july 2016 the big commerce cms platform website social media management seo javascript cms created microsoft bootstrap flexbox optimized seo december 2014 to february 2015 5 month user interface ui content drupal cms helpdesk technician february 2014 to october 2014 cc systems fed ex new york ny july 2013 to january 2014 u s uk canada germany australia responsibilities cms web development training seminole state college january 2013 to june 2013 xhtml june 2012 to december 2012 daily cms new york high school mar 2011 2011 peer javascript aja javascript aja http ajax chat application beta education other skills 4 years 3 years 4 years additional information skills technology core languages 5 years 5 years 3 year 2 year xml 2 years php 1 year sql 1 year platforms technology skills 2 3 years 1 year big commerce 2 years 3 years 3 years 2 years 1 year 1 year github 1 year adobe photoshop 3 years,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
37,Web Developer,caveo caveo caveo seattle wa authorized us november 2016 to october 2017 front end instructional designers storyboards collaborate lms data analyst front end microsoft july 2015 to july 2016 excel vba vlookup ifs third front end development lms troubleshoot lms data analyst front end january 2011 to july 2015 excel vba vlookup ifs third front end development lms troubleshoot lms data analyst project clearwire bellevue february 2010 to december 2010 excel sql the excel workbook append sql sql sql sql odbc excel pivot tables pivot charts engineers delete sql update daily weekly weekly oracle t1 the t1 s daily weekly education certificate university washington seattle wa september 2017 to june 2018 certificate bellevue june 2007 to october 2009 brian prater csm 69b9007,Web Developer,"{7: 0.15384615384615385, 9: 0.8461538461538461}"
38,Web Developer,allianz global investors new york ny work experience email campaign allianz global investors march 2019 to august 2019 ibm creating a b front end june 2017 to february 2019 zmags dynamic yield and salesforce commerce coding develop manage monthly zmags creator tech tech ecommerce team zmags to dynamic yield monitor march 2017 to june 2017 bookmark cms october 2016 to december 2016 troubleshooting wordpress drupal websites building email marketing creating drupal sass css using august 2014 to september 2016 php converting wordpress cms designing coding php websites updated content banners on ecommerce demandware demandware converting websites wordpress cms daily armenian general benevolent union july 2012 to august 2014 javascript wordpress websites ecommerce programmer web designer june 2010 to july 2012 ricky s nyc design weekly photograph ricky s monthly design burson marsteller march 2010 to june 2010 right management inc us japan norway sweden italy germany rhythmyx cms rhythmyx cms programmed japanese french norwegian us right management right management skills git sass rhythmyx flash marketing wordpress illustrator adobe indesign adobe photoshop adobe microsoft august 2019,Web Developer,"{4: 0.07692307692307693, 7: 0.3076923076923077, 9: 0.6153846153846154}"
